CustomerID,Cluster
C0001,0
C0002,0
C0003,0
C0004,2
C0005,0
C0006,0
C0007,0
C0008,2
C0009,0
C0010,0
C0011,2
C0012,2
C0013,2
C0014,0
C0015,0
C0016,0
C0017,2
C0018,2
C0019,0
C0020,0
C0021,2
C0022,2
C0023,2
C0024,2
C0025,0
C0026,0
C0027,0
C0028,2
C0029,0
C0030,0
C0031,0
C0032,0
C0033,1
C0034,2
C0035,0
C0036,0
C0037,0
C0038,0
C0039,2
C0040,0
C0041,2
C0042,0
C0043,0
C0044,0
C0045,2
C0046,2
C0047,0
C0048,0
C0049,2
C0050,0
C0051,2
C0052,0
C0053,2
C0054,2
C0055,0
C0056,0
C0057,2
C0058,0
C0059,2
C0060,1
C0061,0
C0062,0
C0063,0
C0064,2
C0065,2
C0066,0
C0067,2
C0068,2
C0069,0
C0070,0
C0071,0
C0072,2
C0073,0
C0074,0
C0075,2
C0076,0
C0077,0
C0078,0
C0079,0
C0080,0
C0081,2
C0082,2
C0083,0
C0084,2
C0085,0
C0086,0
C0087,2
C0088,0
C0089,0
C0090,2
C0091,2
C0092,0
C0093,2
C0094,0
C0095,0
C0096,2
C0097,0
C0098,2
C0099,2
C0100,2
C0101,2
C0102,2
C0103,0
C0104,2
C0105,2
C0106,0
C0107,0
C0108,2
C0109,2
C0110,0
C0111,2
C0112,0
C0113,2
C0114,2
C0115,0
C0116,0
C0117,0
C0118,0
C0119,0
C0120,0
C0121,0
C0122,2
C0123,0
C0124,2
C0125,0
C0126,2
C0127,0
C0128,0
C0129,0
C0130,0
C0131,0
C0132,0
C0133,0
C0134,2
C0135,0
C0136,2
C0137,0
C0138,2
C0139,2
C0140,0
C0141,2
C0142,0
C0143,2
C0144,0
C0145,2
C0146,0
C0147,2
C0148,2
C0149,2
C0150,0
C0151,1
C0152,0
C0153,2
C0154,0
C0155,2
C0156,2
C0157,0
C0158,0
C0159,0
C0160,0
C0161,2
C0162,2
C0163,2
C0164,0
C0165,2
C0166,0
C0167,0
C0168,0
C0169,2
C0170,2
C0171,2
C0172,0
C0173,2
C0174,0
C0175,2
C0176,0
C0177,0
C0178,0
C0179,2
C0181,2
C0182,2
C0183,0
C0184,0
C0185,0
C0186,0
C0187,0
C0188,2
C0189,0
C0190,2
C0191,0
C0192,0
C0193,0
C0194,2
C0195,2
C0196,0
C0197,0
C0198,0
C0199,0
C0200,2
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
